10001,2020-01-12 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','HAMMAD',2020-01-19 11:03:33.670000,,'INV NO. 508',1,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10002,2020-01-16 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','HAMMAD',2020-01-19 11:05:13.827000,,'INV NO. 513',2,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10003,2020-01-21 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,37800,'1','1','Admin',2020-01-27 19:53:32.890000,,,3,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10005,2020-01-04 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-01-27 19:59:07.105000,,'390 DELIVERY NOTE',5,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10006,2020-01-23 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-01-27 20:00:13.466000,,'423 DELIVERY NOTE',6,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10007,2020-01-26 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-01-27 20:16:55.314000,,,7,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10008,2020-01-09 00:00,'200009','V','ITTEHAD CHEMICALS LIMITED','39-EMPRESS ROAD LAHORE ','LAHORE',0,6517754,'1','1','Admin',2020-01-27 20:17:32.481000,,,8,'LAHORE','01','400001','PURCHASE A/C'
10009,2020-01-05 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,96000,'1','1','Admin',2020-01-27 20:26:12.642000,,,9,'HARIPUR','01','400001','PURCHASE A/C'
10010,2020-01-13 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,87680,'1','1','Admin',2020-01-27 20:27:00.922000,,,10,'HARIPUR','01','400001','PURCHASE A/C'
10011,2020-01-21 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,88000,'1','1','Admin',2020-01-27 20:27:36.242000,,,11,,'01','400001','PURCHASE A/C'
10012,2020-01-23 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,88000,'1','1','Admin',2020-01-27 20:28:05.106000,,,12,,'01','400001','PURCHASE A/C'
10013,2020-01-05 00:00,'200027','V','SHAHEEN PAPER MILLS GUJRANWALA','GUJRANWALA','GUJRANWALA',0,347160,'1','1','Admin',2020-01-27 20:52:41.770000,,,13,'GUJRANWALA','01','400001','PURCHASE A/C'
10014,2020-01-21 00:00,'200027','V','SHAHEEN PAPER MILLS GUJRANWALA','GUJRANWALA','GUJRANWALA',0,356136,'1','1','Admin',2020-01-27 21:01:24.514000,,,14,'GUJRANWALA','01','400001','PURCHASE A/C'
10015,2020-01-25 00:00,'200027','V','SHAHEEN PAPER MILLS GUJRANWALA','GUJRANWALA','GUJRANWALA',0,395340,'1','1','Admin',2020-01-27 21:06:07.777000,,,15,'GUJRANWALA','01','400001','PURCHASE A/C'
10016,2020-01-15 00:00,'200018','V','MOBEEN PAPERS MART','GUJRANWALA','GUJRANWALA',0,19400,'0','1','Admin',2020-01-27 21:51:02.866000,,,16,'GUJRANWALA','01','400001','PURCHASE A/C'
10017,2020-01-08 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,531800,'1','1','Admin',2020-01-27 21:57:22.594000,,,17,'LALAMUSA','01','400001','PURCHASE A/C'
