DPRCode,DPRDate,Status,UserCode,CompCode,DEPTID
13743,2026-01-01 00:00,1,Mudassar,,03
13744,2026-01-03 00:00,1,Mudassar,,03
13745,2026-01-04 00:00,1,Mudassar,,03
13746,2026-01-05 00:00,1,Mudassar,,03
13747,2026-01-06 00:00,1,Mudassar,,03
13748,2026-01-07 00:00,1,Mudassar,,03
13749,2026-01-08 00:00,1,Mudassar,,03
13750,2026-01-10 00:00,1,Mudassar,,03
13751,2026-01-11 00:00,1,Mudassar,,03
13752,2026-01-12 00:00,1,Mudassar,,03
13753,2026-01-13 00:00,1,Mudassar,,03
13754,2026-01-14 00:00,1,Mudassar,,03
13755,2026-01-15 00:00,1,Mudassar,,03
13756,2026-01-17 00:00,1,Mudassar,,03
13757,2026-01-18 00:00,1,Mudassar,,03
13758,2026-01-19 00:00,1,Mudassar,,03
13759,2026-01-20 00:00,1,Mudassar,,03
13760,2026-01-21 00:00,1,Mudassar,,03
13761,2026-01-22 00:00,1,Mudassar,,03
13762,2026-01-24 00:00,1,Mudassar,,03
13763,2026-01-25 00:00,1,Mudassar,,03
13764,2026-01-26 00:00,1,Mudassar,,03
13765,2026-01-27 00:00,1,Mudassar,,03
13766,2026-01-28 00:00,1,Mudassar,,03
13767,2026-01-29 00:00,1,Mudassar,,03
13768,2026-01-31 00:00,1,Mudassar,,03
13770,2026-02-01 00:00,1,Mudassar,,03
13771,2026-02-02 00:00,1,Mudassar,,03
13772,2026-02-03 00:00,1,Mudassar,,03
13773,2026-01-31 00:00,1,USMAN,,03
13774,2026-02-04 00:00,1,Mudassar,,03
13775,2026-02-05 00:00,1,Mudassar,,03
13776,2026-02-07 00:00,1,Mudassar,,03
13777,2026-02-08 00:00,1,Mudassar,,03
13778,2026-02-09 00:00,1,Mudassar,,03
13779,2026-02-10 00:00,1,Mudassar,,03
13780,2026-02-11 00:00,1,Mudassar,,03
13781,2026-02-12 00:00,1,Mudassar,,03
13782,2026-02-14 00:00,1,Mudassar,,03
13783,2026-02-15 00:00,1,Mudassar,,03
13784,2026-02-16 00:00,1,Mudassar,,03
13785,2026-02-17 00:00,1,Mudassar,,03
13786,2026-02-18 00:00,1,Mudassar,,03
13787,2026-02-19 00:00,1,Mudassar,,03
13788,2026-02-21 00:00,1,Mudassar,,03
13789,2026-02-22 00:00,1,Mudassar,,03
13790,2026-02-23 00:00,1,Mudassar,,03
13791,2026-02-24 00:00,1,Mudassar,,03
13792,2026-02-25 00:00,1,Mudassar,,03
13793,2026-02-26 00:00,1,Mudassar,,03
13794,2026-02-28 00:00,1,Mudassar,,03
13795,2026-03-01 00:00,1,Mudassar,,03
13796,2026-03-02 00:00,1,Mudassar,,03
13797,2026-03-03 00:00,1,Mudassar,,03
13798,2026-03-04 00:00,1,Mudassar,,03
13799,2026-03-05 00:00,1,Mudassar,,03
13800,2026-03-07 00:00,1,Mudassar,,03
13801,2026-03-08 00:00,1,Mudassar,,03
13802,2026-03-28 00:00,1,USMAN,,03
13803,2026-03-09 00:00,1,Mudassar,,03
13804,2026-02-28 00:00,1,USMAN,,03
13805,2026-03-10 00:00,1,Mudassar,,03
13806,2026-03-11 00:00,1,Mudassar,,03
13807,2026-03-12 00:00,1,Mudassar,,03
13808,2026-03-16 00:00,1,Mudassar,,03
13809,2026-03-17 00:00,1,Mudassar,,03
13810,2026-02-28 00:00,1,USMAN,,03
13811,2026-02-28 00:00,1,USMAN,,03
13812,2026-03-30 00:00,1,Mudassar,,03
13813,2026-03-31 00:00,1,USMAN,,03
13814,2026-01-01 00:00,1,USMAN,,03
13815,2026-03-31 00:00,1,HAMMAD,,03
13816,2026-03-31 00:00,1,USMAN,,03
13817,2026-04-01 00:00,1,Mudassar,,03
13818,2026-04-02 00:00,1,Mudassar,,03
13819,2026-04-04 00:00,1,Mudassar,,03
13820,2026-04-05 00:00,1,Mudassar,,03
13821,2026-04-06 00:00,1,Mudassar,,03
13822,2026-04-07 00:00,1,Mudassar,,03
13823,2026-04-08 00:00,1,Mudassar,,03
13824,2026-04-09 00:00,1,Mudassar,,03
13825,2026-04-11 00:00,1,Mudassar,,03
13826,2026-04-12 00:00,1,Mudassar,,03
13827,2026-04-13 00:00,1,Mudassar,,03
13828,2026-04-14 00:00,1,Mudassar,,03
13829,2026-04-15 00:00,1,Mudassar,,03
13830,2026-04-16 00:00,1,Mudassar,,03
13831,2026-04-18 00:00,1,Mudassar,,03
13832,2026-04-19 00:00,1,Mudassar,,03
13833,2026-04-20 00:00,1,Mudassar,,03
13834,2026-04-21 00:00,1,Mudassar,,03
13835,2026-04-22 00:00,1,Mudassar,,03
13836,2026-04-23 00:00,1,Mudassar,,03
13837,2026-04-25 00:00,1,Mudassar,,03
13838,2026-04-26 00:00,1,Mudassar,,03
13839,2026-04-27 00:00,1,Mudassar,,03
13840,2026-04-28 00:00,1,Mudassar,,03
13841,2026-04-29 00:00,1,Mudassar,,03
13842,2026-04-30 00:00,1,Mudassar,,03
13843,2026-05-23 00:00,1,Mudassar,,03
13844,2026-05-03 00:00,1,Mudassar,,03
13845,2026-05-05 00:00,1,Mudassar,,03
13846,2026-05-06 00:00,1,Mudassar,,03
13847,2026-05-07 00:00,1,Mudassar,,03
13848,2026-05-09 00:00,1,Mudassar,,03
13849,2026-04-30 00:00,1,USMAN,,03
13850,2026-05-10 00:00,1,Mudassar,,03
13851,2026-05-11 00:00,1,Mudassar,,03
13852,2026-05-12 00:00,1,Mudassar,,03
13853,2026-05-13 00:00,1,Mudassar,,03
13854,2026-05-14 00:00,1,Mudassar,,03
13855,2026-05-16 00:00,1,Mudassar,,03
13856,2026-05-17 00:00,1,Mudassar,,03
13857,2026-05-18 00:00,1,Mudassar,,03
13858,2026-05-19 00:00,1,Mudassar,,03
13859,2026-05-20 00:00,1,Mudassar,,03
13860,2026-05-21 00:00,1,Mudassar,,03
13861,2026-05-23 00:00,1,Mudassar,,03
13862,2026-05-24 00:00,1,Mudassar,,03
13863,2026-05-25 00:00,1,Mudassar,,03
13864,2026-05-31 00:00,1,Mudassar,,03
13865,2026-06-01 00:00,1,Mudassar,,03
13866,2026-06-02 00:00,1,Mudassar,,03
13867,2026-06-03 00:00,1,Mudassar,,03
13868,2026-06-04 00:00,1,Mudassar,,03
13869,2026-06-06 00:00,1,Mudassar,,03
13870,2026-06-07 00:00,1,Mudassar,,03
13871,2026-06-08 00:00,1,Mudassar,,03
13872,2026-06-09 00:00,1,Mudassar,,03
13873,2026-06-10 00:00,1,Mudassar,,03
13874,2026-06-11 00:00,1,Mudassar,,03
13875,2026-06-13 00:00,1,Mudassar,,03
13876,2026-06-14 00:00,1,Mudassar,,03
13877,2026-05-31 00:00,1,USMAN,,03
13878,2026-06-15 00:00,1,Mudassar,,03
13879,2026-06-16 00:00,1,Mudassar,,03
13880,2026-06-17 00:00,1,Mudassar,,03
13881,2026-06-20 00:00,1,Mudassar,,03
13882,2026-06-21 00:00,1,Mudassar,,03
13883,2026-06-24 00:00,1,Mudassar,,03
13884,2026-06-25 00:00,1,Mudassar,,03
13885,2026-06-27 00:00,1,Mudassar,,03
13886,2026-06-28 00:00,1,Mudassar,,03
13887,2026-06-29 00:00,1,Mudassar,,03
13888,2026-06-30 00:00,1,Mudassar,,03
13889,2026-07-01 00:00,1,Mudassar,,03
13890,2026-07-02 00:00,1,Mudassar,,03
13891,2026-07-04 00:00,1,Mudassar,,03
13892,2026-07-05 00:00,1,Mudassar,,03
13893,2026-07-06 00:00,1,Mudassar,,03
13894,2026-07-07 00:00,1,Mudassar,,03
13895,2026-07-08 00:00,1,Mudassar,,03
13896,2026-07-09 00:00,1,Mudassar,,03
13897,2026-07-11 00:00,1,Mudassar,,03
13898,2026-07-12 00:00,1,Mudassar,,03
13899,2026-07-13 00:00,1,Mudassar,,03
13900,2026-07-14 00:00,1,Mudassar,,03
13901,2026-07-15 00:00,1,Mudassar,,03
13902,2026-07-16 00:00,1,Mudassar,,03
13903,2026-07-18 00:00,1,Mudassar,,03
13904,2026-07-19 00:00,1,Mudassar,,03
13905,2026-07-20 00:00,1,Mudassar,,03
13906,2026-07-21 00:00,1,Mudassar,,03
13907,2026-07-22 00:00,1,Mudassar,,03
13908,2026-06-30 00:00,1,USMAN,,03
13909,2026-07-23 00:00,1,Mudassar,,03
13910,2026-07-26 00:00,1,Mudassar,,03
13911,2026-07-27 00:00,1,Mudassar,,03
13912,2026-07-28 00:00,1,Mudassar,,03
13913,2026-07-29 00:00,1,Mudassar,,03
13914,2026-07-30 00:00,1,Mudassar,,03
13915,2026-08-01 00:00,1,Mudassar,,03
13916,2026-08-02 00:00,1,Mudassar,,03
