DPRCode,DPRDate,Status,UserCode,ShiftCode,DEPTID,AccountCode,AccountName,Doc
13743,2026-01-01 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-04 09:04:24.413000
13744,2026-01-03 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-04 09:17:57.091000
13745,2026-01-04 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 11:54:41.939000
13746,2026-01-05 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 11:57:20.963000
13747,2026-01-06 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 11:59:29.928000
13748,2026-01-07 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 12:02:15.972000
13749,2026-01-08 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 12:18:18.554000
13750,2026-01-10 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 12:27:32.784000
13751,2026-01-11 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 12:34:09.029000
13752,2026-01-12 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 12:40:42.220000
13753,2026-01-13 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:01:49.319000
13754,2026-01-14 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:03:31.516000
13755,2026-01-15 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:06:16.240000
13756,2026-01-17 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:08:19.575000
13757,2026-01-18 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:11:15.012000
13758,2026-01-19 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:13:09.556000
13759,2026-01-20 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:15:13.007000
13760,2026-01-21 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-22 13:21:02.451000
13761,2026-01-22 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-24 17:20:37.919000
13762,2026-01-24 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-25 12:08:20.960000
13763,2026-01-25 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-26 09:24:39.463000
13764,2026-01-26 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-31 11:14:37.792000
13765,2026-01-27 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-31 11:16:27.413000
13766,2026-01-28 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-31 11:17:55.963000
13767,2026-01-29 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-01-31 11:19:28.999000
13768,2026-01-31 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-02-01 11:04:15.787000
13770,2026-02-01 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-02-02 15:46:18.397000
13771,2026-02-02 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-02-05 16:45:30.849000
13772,2026-02-03 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-02-05 16:47:52.192000
13773,2026-01-31 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-02-28 14:58:51.121000
13774,2026-02-04 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:22:35.656000
13775,2026-02-05 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:27:13.084000
13776,2026-02-07 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:29:28.176000
13777,2026-02-08 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:33:18.312000
13778,2026-02-09 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:36:38.510000
13779,2026-02-10 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:56:29.772000
13780,2026-02-11 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 16:59:15.736000
13781,2026-02-12 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 17:00:48.805000
13782,2026-02-14 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-01 17:01:57.680000
13783,2026-02-15 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 10:23:27.293000
13784,2026-02-16 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:02:45.591000
13785,2026-02-17 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:06:04.874000
13786,2026-02-18 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:08:52.649000
13787,2026-02-19 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:12:03.400000
13788,2026-02-21 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:14:20.558000
13789,2026-02-22 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:17:22.775000
13790,2026-02-23 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:19:39.739000
13791,2026-02-24 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:21:54.621000
13792,2026-02-25 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:23:50.198000
13793,2026-02-26 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:26:00.561000
13794,2026-02-28 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:27:57.316000
13795,2026-03-01 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-02 11:30:22.075000
13796,2026-03-02 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 11:09:20.587000
13797,2026-03-03 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 11:39:10.884000
13798,2026-03-04 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 11:46:16.059000
13799,2026-03-05 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 11:54:20.747000
13800,2026-03-07 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 11:57:42.207000
13801,2026-03-08 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 12:02:11.752000
13802,2026-03-28 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-03-28 11:46:53.374000
13803,2026-03-09 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 12:11:27.944000
13804,2026-02-28 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-03-28 12:29:55.966000
13805,2026-03-10 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 12:15:21.329000
13806,2026-03-11 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 13:46:03.789000
13807,2026-03-12 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 13:47:54.834000
13808,2026-03-16 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 13:49:06.528000
13809,2026-03-17 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-03-28 13:49:49.592000
13810,2026-02-28 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-03-29 11:11:37.513000
13811,2026-02-28 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-04-01 15:58:10.571000
13812,2026-03-30 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-04 10:28:14.349000
13813,2026-03-31 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-04-04 10:29:25.591000
13814,2026-01-01 00:00,1,USMAN,10001,03,100001,INVENTORY A/C,2026-04-06 10:57:47.717000
13815,2026-03-31 00:00,1,HAMMAD,,03,100001,INVENTORY A/C,2026-04-11 12:24:44.296000
13816,2026-03-31 00:00,1,USMAN,,03,100001,INVENTORY A/C,2026-04-16 10:17:44.687000
13817,2026-04-01 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:08:09.436000
13818,2026-04-02 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:10:47.922000
13819,2026-04-04 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:12:31.632000
13820,2026-04-05 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:23:04.068000
13821,2026-04-06 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:25:48.585000
13822,2026-04-07 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:27:52.356000
13823,2026-04-08 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:29:30.340000
13824,2026-04-09 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:30:58.113000
13825,2026-04-11 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:32:24.473000
13826,2026-04-12 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:33:44.429000
13827,2026-04-13 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:35:47.822000
13828,2026-04-14 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:37:21.720000
13829,2026-04-15 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-16 14:38:35.612000
13830,2026-04-16 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-19 11:21:26.197000
13831,2026-04-18 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-04-19 11:23:21.528000
13832,2026-04-19 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:51:46.603000
13833,2026-04-20 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:53:47.834000
13834,2026-04-21 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:55:41.668000
13835,2026-04-22 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:57:29.483000
13836,2026-04-23 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:59:26.412000
13837,2026-04-25 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 13:00:57.897000
13838,2026-04-26 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 10:38:08.802000
13839,2026-04-27 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 10:57:02.491000
13840,2026-04-28 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 10:59:02.413000
13841,2026-04-29 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 11:01:40.930000
13842,2026-04-30 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 11:03:40.925000
13843,2026-05-23 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-05-03 10:02:38.480000
13844,2026-05-03 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-05-04 11:15:39.582000
13845,2026-05-05 00:00,1,Mudassar,,03,100001,INVENTORY A/C,2026-05-07 12:35:10.187000
