DPRCode,DPRDate,Status,UserCode,ShiftCode,DEPTID,AccountCode,AccountName,Doc
13002,2023-12-31 00:00,0,Waqas,,03,100001,INVENTORY A/C,2024-01-03 12:27:27.067000
13003,2023-12-31 00:00,0,Waqas,10002,03,100001,INVENTORY A/C,2024-01-13 11:53:43.536000
13004,2023-12-31 00:00,0,Waqas,10001,03,100001,INVENTORY A/C,2024-01-13 12:15:54.000000
13658,2025-08-31 00:00,0,USMAN,,03,100001,INVENTORY A/C,2025-10-01 14:08:14.143000
13668,2025-09-29 00:00,0,HAMMAD,,03,100001,INVENTORY A/C,2025-10-12 14:48:25.362000
13832,2026-04-19 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:51:46.603000
13833,2026-04-20 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:53:47.834000
13834,2026-04-21 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:55:41.668000
13835,2026-04-22 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:57:29.483000
13836,2026-04-23 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 12:59:26.412000
13837,2026-04-25 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-04-26 13:00:57.897000
13838,2026-04-26 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 10:38:08.802000
13839,2026-04-27 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 10:57:02.491000
13840,2026-04-28 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 10:59:02.413000
13841,2026-04-29 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 11:01:40.930000
13842,2026-04-30 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-02 11:03:40.925000
13849,2026-04-30 00:00,0,USMAN,,03,100001,INVENTORY A/C,2026-05-21 12:47:40.379000
13850,2026-05-10 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 15:48:05.915000
13851,2026-05-11 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 15:50:07.488000
13852,2026-05-12 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 15:52:29.596000
13853,2026-05-13 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 15:54:45.965000
13854,2026-05-14 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 15:57:03.422000
13855,2026-05-16 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 16:01:00.684000
13856,2026-05-17 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 16:05:18.932000
13857,2026-05-18 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 16:08:51.975000
13858,2026-05-19 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 16:10:31.357000
13859,2026-05-20 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-21 16:12:06.046000
13860,2026-05-21 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-24 14:33:21.736000
13861,2026-05-23 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-24 14:35:10.634000
13862,2026-05-24 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-05-25 14:18:01.434000
13863,2026-05-25 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-02 15:33:36.203000
