SaCode,SaDate,Status,Remarks,Usercode,DEPTID,Doc
1348,2026-01-31 00:00,1,STOCK ADJUSTED JAN 2026,USMAN,03,2026-02-28 15:51:29.376000
1349,2026-03-02 00:00,1,RING SOAP SPECIAL QUALITY ,USMAN,03,2026-03-28 10:28:13.646000
1350,2026-03-09 00:00,1,TRAIN SOAP ,USMAN,03,2026-03-28 10:32:31.412000
1351,2026-03-09 00:00,1,LASHKARA 4PACK,USMAN,03,2026-03-28 10:34:56.272000
1352,2026-03-28 00:00,1,INSAAF SALTT 800GRAM,USMAN,03,2026-03-28 10:37:14.828000
1353,2026-03-07 00:00,1,AL FIRDOUS VERMICEILLI U SHAP,USMAN,03,2026-03-28 10:40:25.315000
1354,2026-03-03 00:00,1,HIMALAYA SALT 800GRAM,USMAN,03,2026-03-28 10:44:08.084000
1355,2026-03-03 00:00,1,SUNDAR SALT 800GRAM,USMAN,03,2026-03-28 10:49:14.908000
1356,2026-03-09 00:00,1,LASHKARA DETERGENT 400GRAM,USMAN,03,2026-03-28 10:54:50.100000
1357,2026-03-10 00:00,1,TRAIN WP 500GRAM,USMAN,03,2026-03-28 11:03:50.688000
1358,2026-03-16 00:00,1,DELUXE TURKEY ROSE TOUCH,USMAN,03,2026-03-28 11:08:46.043000
1359,2026-03-15 00:00,1,DELUXE TURKEY ORANGE,USMAN,03,2026-03-28 11:13:05.065000
1360,2026-02-28 00:00,1,RAPER,USMAN,03,2026-03-29 12:31:30.666000
1361,2026-02-28 00:00,1,LDM+PET+BOPP ADJUSTED,USMAN,03,2026-03-30 09:55:12.483000
1362,2026-02-28 00:00,1,PLNAT DETERGENT ,USMAN,03,2026-04-11 09:45:13.389000
1363,2026-03-31 00:00,1,PLANT DETERFGENT MARCH 26,USMAN,03,2026-04-11 15:40:49.763000
1364,2026-03-24 00:00,1,SERVIS BLUE SPROCKET DRIVEN,USMAN,03,2026-04-29 11:40:02.147000
1365,2026-04-30 00:00,1,,USMAN,03,2026-05-21 14:35:22.710000
1366,2026-06-30 00:00,1,DW/DT,USMAN,03,2026-07-26 12:35:20.418000
