SaCode,SaDate,Status,Remarks,Usercode,DEPTID,Doc
4,2020-11-17 00:00,0,STOCK ADJUSTED AS SALES FROM DW240/36\x0d\x0aRATE EQUAL,HAMMAD,04,2020-11-17 19:49:17.966000
82,2021-03-06 00:00,0,PACKAGES STOCK OUT,USMAN,01,2021-03-08 09:31:44.127000
91,2021-03-23 00:00,0,PACKAGES RM ADJ,Waqas,01,2021-03-29 17:11:08.650000
92,2021-03-22 00:00,0,PACKAGES RM ADJ,Waqas,01,2021-03-29 17:22:27.387000
93,2021-03-14 00:00,0,PACKAGES DAILY CONSUMPTION,HAMMAD,01,2021-03-30 12:46:35.279000
95,2021-03-16 00:00,0,PACKAGES CONSUMPTION,HAMMAD,01,2021-03-30 13:25:56.463000
102,2021-01-01 00:00,0,"JAGMAG 60/72, 55/72",Waqas,03,2021-06-27 17:24:26.342000
175,2021-09-26 00:00,0,TRF TO 800/12 STOCK,HAMMAD,06,2021-09-26 13:17:27.474000
434,2022-08-07 00:00,0,PAPER REEL AND BOX BOARD,HAMMAD,01,2022-08-25 10:40:09.877000
518,2022-11-15 00:00,0,REEL AND BOX,HAMMAD,01,2022-11-29 16:27:17.460000
521,2022-11-30 00:00,0,REEL AND BOX,HAMMAD,01,2022-11-30 12:56:48.387000
530,2022-11-22 00:00,0,REEL AND BOX,HAMMAD,01,2022-12-18 15:15:07.509000
608,2023-01-24 00:00,0,REEL AND BOX,HAMMAD,01,2023-02-08 17:15:40.522000
690,2023-05-15 00:00,0,REEL AND BOX,HAMMAD,01,2023-05-22 11:11:11.444000
703,2023-05-27 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-01 16:58:37.291000
704,2023-05-25 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-01 17:06:59.222000
705,2023-05-24 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-01 17:12:41.659000
706,2023-05-23 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-01 17:27:18.333000
708,2023-05-21 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-01 18:10:14.647000
709,2023-05-20 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-01 18:15:29.408000
717,2023-06-13 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-19 10:44:33.803000
719,2023-06-11 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-19 11:17:58.185000
722,2023-06-07 00:00,0,REEL AND BOX,HAMMAD,01,2023-06-19 12:36:31.814000
729,2023-06-26 00:00,0,REEL AND BOX,HAMMAD,01,2023-07-04 17:45:57.465000
738,2023-07-16 00:00,0,REEL AND BOX,HAMMAD,01,2023-07-18 14:53:39.212000
741,2023-07-12 00:00,0,REEL AND BOX,HAMMAD,01,2023-07-18 15:40:46.572000
785,2023-08-09 00:00,0,REEL AND BOX,Adeel,01,2023-09-13 10:06:50.782000
801,2023-10-08 00:00,0,ADJUSTED REEL STOCK,Waqas,01,2023-10-08 12:47:44.746000
806,2023-09-30 00:00,0,STOCK ADJUSTED,Waqas,03,2023-11-01 10:57:12.074000
825,2023-10-31 00:00,0,,Waqas,06,2023-12-03 10:12:36.468000
840,2023-12-31 00:00,0,PP BAGS STOCKS,Waqas,03,2024-01-06 11:30:28.052000
855,2024-01-31 00:00,0,DISHWASH & DETERGENT,Waqas,01,2024-02-10 11:13:57.697000
860,2024-02-13 00:00,0,LASHKARA DETERGENT RS.10 & 200G,Waqas,01,2024-02-13 14:31:04.188000
881,2024-04-18 00:00,0,REPORT CARD,Waqas,01,2024-04-18 10:49:56.131000
896,2024-05-26 00:00,0,FINISH GOODS,HAMMAD,03,2024-05-26 16:34:11.489000
897,2024-05-26 00:00,0,RAW MATERIAL,HAMMAD,01,2024-05-26 17:04:54.805000
903,2024-05-31 00:00,0,"GRAVUER ADJUSTMENT MAY,2024",Waqas,01,2024-06-01 17:28:00.308000
904,2024-05-31 00:00,0,BOPP & CPP,Mudassar,01,2024-06-03 14:04:58.564000
905,2024-05-31 00:00,0,RAW MATERIAL GRAVUER\x0d\x0a,Mudassar,03,2024-06-03 16:19:39.260000
906,2024-05-31 00:00,0,BOTTLES & CAPS,Mudassar,03,2024-06-03 17:31:28.174000
907,2024-05-31 00:00,0,STICKERS & LABELS,Mudassar,03,2024-06-03 17:50:28.646000
908,2024-05-31 00:00,0,FRAGNANCE,Mudassar,03,2024-06-03 18:10:45.183000
909,2024-05-31 00:00,0,BAGS,Mudassar,03,2024-06-04 09:32:19.131000
910,2024-05-31 00:00,0,AL-HAMEED,Mudassar,03,2024-06-04 10:49:31.130000
911,2024-05-31 00:00,0,AMIN FAN,Mudassar,03,2024-06-04 10:55:14.003000
912,2024-05-31 00:00,0,AL MUMTAZ FAN,Mudassar,03,2024-06-04 10:58:11.593000
913,2024-05-31 00:00,0,GUJRATFAN,Mudassar,03,2024-06-04 11:02:41.942000
914,2024-05-31 00:00,0,DECENT FAN,Mudassar,03,2024-06-04 11:11:03.701000
915,2024-05-31 00:00,0,SM SOAP (SHEIKH MEHMOOD ),Mudassar,03,2024-06-04 11:42:43.176000
916,2024-05-31 00:00,0,SHAHZAIN SOAP,Mudassar,03,2024-06-04 11:56:08.621000
917,2024-05-31 00:00,0,TALHA FOODS,Mudassar,03,2024-06-04 12:11:37.025000
918,2024-05-31 00:00,0,TARANUM FAN,Mudassar,03,2024-06-04 12:18:05.060000
919,2024-05-31 00:00,0,MERCEDEZ FAN,Mudassar,03,2024-06-04 12:26:38.317000
