SaCode,SaDate,Status,Remarks,Usercode,DEPTID
1348,2026-01-31 00:00,1,STOCK ADJUSTED JAN 2026,USMAN,03
1349,2026-03-02 00:00,1,RING SOAP SPECIAL QUALITY ,USMAN,03
1350,2026-03-09 00:00,1,TRAIN SOAP ,USMAN,03
1351,2026-03-09 00:00,1,LASHKARA 4PACK,USMAN,03
1352,2026-03-28 00:00,1,INSAAF SALTT 800GRAM,USMAN,03
1353,2026-03-07 00:00,1,AL FIRDOUS VERMICEILLI U SHAP,USMAN,03
1354,2026-03-03 00:00,1,HIMALAYA SALT 800GRAM,USMAN,03
1355,2026-03-03 00:00,1,SUNDAR SALT 800GRAM,USMAN,03
1356,2026-03-09 00:00,1,LASHKARA DETERGENT 400GRAM,USMAN,03
1357,2026-03-10 00:00,1,TRAIN WP 500GRAM,USMAN,03
1358,2026-03-16 00:00,1,DELUXE TURKEY ROSE TOUCH,USMAN,03
1359,2026-03-15 00:00,1,DELUXE TURKEY ORANGE,USMAN,03
1360,2026-02-28 00:00,1,RAPER,USMAN,03
1361,2026-02-28 00:00,1,LDM+PET+BOPP ADJUSTED,USMAN,03
1362,2026-02-28 00:00,1,PLNAT DETERGENT ,USMAN,03
1363,2026-03-31 00:00,1,PLANT DETERFGENT MARCH 26,USMAN,03
1364,2026-03-24 00:00,1,SERVIS BLUE SPROCKET DRIVEN,USMAN,03
1365,2026-04-30 00:00,1,,USMAN,03
1366,2026-06-30 00:00,1,DW/DT,USMAN,03
