code,name,opening_stock,item_type
BB001,BACHAT PP BAGS EMPTY,0.0,M
BGS001,BETA GOL SOAP C1 P3 LN,0.0,F
BGS002,BETA GOL JAR 20 TIKI C1 P3 LN,0.0,F
BOP001,BOPP MAT 825MM 20 MICRON,0.0,M
BOP002,BOPP MAT 835MM 20 MICRON,0.0,M
BOP003,BOPP MAT 40MM 20 MICRON,0.0,M
BOP004,BOPP MAT 90MM 20 MICRON,0.0,M
BOP005,BOPP MAT 850MM 20 MICRON,0.0,M
BOP006,OPP MTZ 640MM 20MICRON,0.0,M
BOP007,BOPP MAT 600MM 25 MICRON,0.0,M
BOP008,BOPP MAT 765MM 30MICRON,0.0,M
BOP010,BOPP PEARL 760MM 38MICRON,0.0,M
BOP011,BOPP H/S 820MM 30 MICRON,0.0,M
BOP013,BOPP MAT 680MM 20 MICRON (GOLD GLEAM),0.0,M
BOP015,PEARL 600MM 25 MICRON,0.0,M
BOP016,PEARL SKIN VATAMIN  BOPP 590MM,0.0,M
BOP017,PEARL 670MM 75 MICRON,0.0,M
BOP018,BOPP PRINTED 660MM 75 MICRON,0.0,M
BOP019,BOPP H/S 680MM 30 MICRON,0.0,M
BOP020,PEARL FEEL 670MM 25MICRON,0.0,M
BOP021,BOPP TRI PACK 760MM 25MICRON,0.0,M
BOP023,BOPP H/S 920MM 30MICRON,0.0,M
BOP025,BOPP MAT 590MM 15MICRON,0.0,M
BOP026,BOPP H/S 610MM 30MICRON,0.0,M
BOP029,BOPP 680MM 30 MICRON,0.0,M
BOP030,BOPP I PACK 960MM 30 MICRON,0.0,M
BOP031,CPP MILKY 640MM 25 MICRON,0.0,M
BOP032,CPP MILKY 610MM 25 MICRON,0.0,M
BOP033,BOPP 800MM 25 MICRON,0.0,M
BOP051,BBOPP SIZE 800MM 30MICRON,0.0,M
BOP060,CPP MTLYZ 780MM 25MICRON,0.0,M
BOP065,PET+CPP MTZ 260MM,0.0,F
BOPP005,BOPP PEARL 760MM 30 MICRON,0.0,M
BOPP007,BOPP PEARL 810MM 12MICRON,0.0,M
BOPP008,BOPP MTZ 660MM 20MICRON,0.0,M
BOPP009,BOPP H/S 720MM 30 MICRON,0.0,M
BOPP010,BOPP MTZ 670MM 20MICRON,0.0,M
BOPP011,BOPP MTZ 470MM 20MICRON,0.0,M
BT0003,GREEN BOTTLE CAP 35-GRM,0.0,M
BT0004,BRILLO BOTTLE 475ML,0.0,M
BT0005,HAPPY BOTTLE 500ML,0.0,M
BT0006,EMPTY BAHAR LIQUID BOTTLE 900ML,0.0,M
BT0007,EMPTY OIL BOTTLE 100ML,0.0,M
BT0008,EMPTY OIL BOTTLE 250ML,0.0,M
BT0010,LIQUID EMPTY BOTTLE 5KG,0.0,M
BT0011,LAUNDRY LIQUID BOTTLE 500GRAMS,0.0,M
BT0012,DISHWASH LIQUID EMPTY BOTTLE 1 LTR,0.0,M
BT0013,BAHAR TOILET CLEANER CAP 250/500ML,0.0,M
BT006,EMPTY OIL BOTTLE 500ML,0.0,M
BT007,EMPTY OIL BOTTLE 170ML,0.0,M
BT008,EMPTY BOTTLE BACHAT TOILET CLEANER,0.0,M
BT010,EMPTY BOTTLE +CAP  HAPPY TOILET CLEANER,0.0,M
BT011,BACHAT EMPTY BOTTLE DISHWASH LQUD 500ML,0.0,M
BT012,EMPTY OIL BOTTLE 1000 ML,0.0,M
BT014,BOTTLE VINEGAR MARYAM FOOD,0.0,M
BT015,HAPPY TOILET CLEANER BOTTLE 250 ML,0.0,M
BT016,PLANE PLASTIC BOTTAL+CAP,0.0,M
BT017,BLEACH EMPTY BOTTAL,0.0,M
BT020,RED CAP EMPTY BOTTLE 5KG,0.0,M
BT021,SEAL EMPTY BOTTLE 5KG,0.0,M
BTC003,BRILLO TOILET CLEANER 500ML,0.0,F
