code,name,fmye_qty,erp_qty,delta_to_fmye,status,fmye_dpr,fmye_sa,fmye_consumption,product_id
RM0007,SALT GRANUELS,-2812592.81,-3500.0,-2809092.81,diff,0,504136.874,9428294.827,5161
SF0005,DISHWASH BAR TRAIN QUALITY,1805419.46,0.0,1805419.46,diff,4545477.24,-2664988.22,63009.56,5503
RM0002,SODA ASH,-636770.721,996250.0,-1633020.721,diff,0,-4682772.362,4298926.894,5156
RM0017,SILICATE,-516999.558,754167.0,-1271166.558,diff,0,-2911123.807,3472460.831,5170
RM0004,SULPHONIC ACID,-421205.831,684945.0,-1106150.831,diff,0,-3846230.776,3459979.88,5158
RM187,SALT STONE,975745.0,1917430.0,-941685.0,diff,0,-6427880.0,0,5351
RM0013,SODIUM SULPHATE ANHYDROUS,-168810.707,561889.0,-730699.707,diff,0,-2933460.435,2163408.42,5167
MBP001,MARBLE POWDER,-317930.673,372525.0,-690455.673,diff,0,-5701387.6,2307155.564,1723
DT3005,DETERGENT 16A.D,641230.9,-3.0,641233.9,diff,4372077.8,-3726531.9,0,941
SCR001,MISC SCRAP ITEM,-785218.1,-155193.0,-630025.1,diff,0,104044.5,0,5497
DT3002,DETERGENT  7A.D,530871.0,-9325.0,540196.0,diff,3898584.0,-3264643.0,0,938
RM0003,TELCOM POWDER,-172421.709,259150.0,-431571.709,diff,0,-3680933.332,1536779.317,5157
SF0023,HAPPY LAUNDARY BAR,395284.4,0.0,395284.4,diff,498019.4,-102735.0,0,5521
SF0021,BASE POWDER 29AD,257151.13,-137220.0,394371.13,diff,1542585.0,56706.0,14688.87,5519
LPG001,LPG GASS,505110.0,128910.0,376200.0,diff,0,-405808.68,32352.323,1680
DT3006,DETERGENT 18 A.D,200165.0,-143900.0,344065.0,diff,1553727.0,-1100228.0,0,942
PKS001,TRAIN DISHWASH 120/36 C4 P3 LN,324139.0,5711.0,318428.0,diff,1098948.0,-774694.0,0,2840
DT3012,DETERGENT 10A.D STANDRED,263250.0,0.0,263250.0,diff,2290591.0,-2025311.0,0,948
WD001,Misc Item Woods,-96105.0,155075.0,-251180.0,diff,0,-1773854.5,0,5585
RM0026,CAUSTIC SODA / SODIUM HYDRO OXIDE (NOAH),-110003.806,120440.0,-230443.806,diff,0,-382159.409,619770.797,5187
DT3007,DETERGENT 12A.D,215893.0,-12000.0,227893.0,diff,2071571.0,-1721457.0,0,943
BT013,OIL BOTTLE CAP,284000.0,80000.0,204000.0,diff,0,-296000.0,0,125
RM0029,SODA DENSE,-19293.705,176580.0,-195873.705,diff,0,-425630.856,596226.745,5190
PKS005,LASHKARA DETERGENT 200/24 CTN C4 P5 LN,186511.0,0.0,186511.0,missing_in_erp,370151.0,9931.0,193471.0,
RM226,CALCIAUM CARBONATE S200,-88661.407,97500.0,-186161.407,diff,0,59279.527,463741.264,5390
DT3003,DETERGENT  10A.D BLUCK,134659.49,-46770.0,181429.49,diff,1892214.49,-1646104.0,0,939
RM0015,CALCIUM CARBONATE (PCC),-93872.821,59000.0,-152872.821,diff,0,-331779.805,444786.874,5169
RM0067,DOLOMITE,-29623.303,120000.0,-149623.303,diff,0,-449152.098,384053.705,5229
DT3004,DETERGENT 14A.D,107028.0,-16340.0,123368.0,diff,743614.0,-578751.0,0,940
PSM049,TURKEY BEAUTY SOAP 48PCS C4 P5 KHAKI,-273581.0,-152241.0,-121340.0,diff,179768.0,0,0,3639
RM154,PREFORM BOTTLE 15.5GRAM,8100.0,89300.0,-81200.0,diff,0,-181000.0,0,5318
SF0004,DISHWASH BAR RING QUALITY,80516.16,0.0,80516.16,diff,379282.76,-298766.6,0,5502
PAS007,A.S MUG DIBBI KHAKI C1 P3,-166645.0,-86414.0,-80231.0,diff,133592.0,26899.0,0,1919
PP0017,SAGA EMPTY BAG 4KG,81565.0,8500.0,73065.0,diff,0,-112843.0,0,3176
DT3023,DETERGENT 20 AD  SHINE,14299.5,-58560.0,72859.5,diff,110848.5,-37964.0,0,959
RM175,NOZEL FOR BAG MAKING,-72800.0,0.0,-72800.0,diff,0,-161500.0,0,5339
PP0020,SADA PP BAG (SHESHA),90900.0,28000.0,62900.0,diff,0,-41320.0,0,3179
PAS012,MFA MUG DIBBI KHAKI C1 P3,-121432.0,-60747.0,-60685.0,diff,35777.0,0,0,1924
BT0002,YELLOW BOTTLE CAP 35-GRM,73500.0,15000.0,58500.0,diff,0,-683600.0,0,107
DT1004,LASHKARA DETERGENT 600/10,-56334.0,345.0,-56679.0,diff,130837.0,-131505.0,0,742
BT0001,ORANGE BOTTLE CAP 35-GRM,71500.0,15000.0,56500.0,diff,0,-120000.0,0,106
PKS311,LASHKARA 1KG NEW,54800.0,0.0,54800.0,missing_in_erp,69924.0,-15074.0,0,
PGB001,MUG DIBBI KHAKI SADA P3,-79157.0,-26753.0,-52404.0,diff,88625.0,47508.0,0,2556
PKS004,LASHKARA DETERGENT 400/12 C4 P3 LN,52231.0,0.0,52231.0,missing_in_erp,160859.0,63423.0,171980.0,
SF0007,DISHWASH BAR 12 AD,52000.09,0.0,52000.09,diff,159310.84,-107310.75,0,5505
PP0026,ARGHAWAN 5KG BAG,62635.0,14295.0,48340.0,diff,0,-16330.0,0,3185
BT0006,EMPTY BAHAR LIQUID BOTTLE 900ML,48300.0,0.0,48300.0,missing_in_erp,0,-32534.0,0,
RM0033,STPP,-5797.844,42275.0,-48072.844,diff,0,-14103.603,215304.065,5194
DT3026,POPULER 12-AD,-17964.0,-59920.0,41956.0,diff,48191.0,-6235.0,0,962
PMF004,MERCEDEZ UNIVERSAL BLADE BOX SMALL C/F C4 P3 LAMINATION,-78746.0,-37753.0,-40993.0,diff,106877.0,416.0,0,3094
BT019,BAHAR LIQUID BOTTLE 900ML CAP (WHITE),45287.0,5000.0,40287.0,diff,0,0,0,131
RM0005,SODIUM BI CARBONATE,-19846.73,20125.0,-39971.73,diff,0,-84027.168,71994.617,5159
PSS028,TRAIN 14KG C2 P3 LN,-19634.0,19634.0,-39268.0,diff,81054.0,-99721.0,0,3960
RM00196,SALT SPECKLES RED,-42032.189,-2875.0,-39157.189,diff,0,0,32082.189,5178
RM127,PREFORM BOTTLE 35GRAM 28MM,-21960.0,17000.0,-38960.0,diff,0,-107000.0,0,5291
RM00198,SALT SPECKLES GREEN,-41807.189,-2875.0,-38932.189,diff,0,0,32082.189,5180
PKS080,TRAIN DISHWASH JUMBO 300/24 C4 P3 LN,37975.0,0.0,37975.0,missing_in_erp,55893.0,-17918.0,0,
RM00197,SALT SPECKLES BLUE,-40607.189,-2900.0,-37707.189,diff,0,0,32082.189,5179
DW1015,TRAIN DISHWASH JUMBO 200/24,-7528.0,-45148.0,37620.0,diff,120673.75,-5071.0,0,1271
RM0001,PALMFONATE,-48129.811,-11025.0,-37104.811,diff,0,-45067.256,32317.931,5155
RM155,PREFORM BOTTLE 31.5GRAM,-37000.0,0.0,-37000.0,missing_in_erp,0,-37000.0,0,
PSS032,TRAIN WHITE 8 KG C4 P3 LN,-18405.0,18405.0,-36810.0,diff,33205.0,-51610.0,0,3964
PKS011,TRAIN DISHWASH 60/72 CTN C4 P3 LN,35549.0,0.0,35549.0,missing_in_erp,268390.0,-232251.0,0,
DT3025,PULSE 18-A.D,-18165.0,-53520.0,35355.0,diff,39775.0,-4420.0,0,961
PKS015,PUNJAB DISHWASH 60/36 CTN C4 P3 LN,34901.0,0.0,34901.0,missing_in_erp,202673.0,-167422.0,0,
WHP003,ISLAMABAD COOKING OIL 900ML*5 LTR P3 C4 LY,34292.0,0.0,34292.0,missing_in_erp,134790.0,13161.0,0,
PPC003,PUNJAB BANASPATI 1KG*16,-34180.0,0.0,-34180.0,diff,295803.0,-183861.0,0,3275
PP0062,PP BAG 25*42 (WITHOUT PRINTING),34000.0,0.0,34000.0,missing_in_erp,0,0,0,
PKS007,LASHKARA DETERGENT 55/48 CTN C4 P3 LN,33930.0,0.0,33930.0,missing_in_erp,96711.0,-43826.0,18955.0,
SF0001,BASE POWDER PLANT 26A.D,-127346.059,-93460.0,-33886.059,diff,6781750.6,-89656.0,6083328.364,5499
PP0057,TRAIN EMPTY BAG 19*30 (25KG),33840.0,0.0,33840.0,missing_in_erp,0,-4800.0,0,
RAP012,LASHKARA EMPTY BAG 4KG,24492.0,57939.0,-33447.0,diff,0,-221845.727,70370.773,4611
PPD001,P.D CUP & SAUCER DIBI BLUE/PINK C4 P3 LN,-60041.0,-27381.0,-32660.0,diff,31324.0,-7466.0,0,3291
PP0036,SAGA EMPTY BAG  3KG,32540.0,0.0,32540.0,missing_in_erp,0,-46500.0,0,
RM0071,CSD,-32168.853,0.0,-32168.853,diff,0,1151.0,58819.853,5233
PSR126,SERVIS CHEETA 320*175*120 TOP+BOTTOM LM,-31696.0,0.0,-31696.0,missing_in_erp,48654.0,0,0,
RM0009,GREEN BINTO,-18590.466,13000.0,-31590.466,diff,0,-312349.373,208168.173,5163
DT2013,TRAIN DETERGENT 5 KG 7A.D,-61312.0,-92500.0,31188.0,diff,322629.0,11353.0,0,856
RM163,OIL KNN CHICKEN,-30385.0,0.0,-30385.0,diff,0,-2037.0,0,5327
MUST01,MUSTARD OIL,-5630.5,24714.5,-30345.0,diff,0,-312840.0,0,1747
RM143,EMPTY BOTTLE BAHAR TOILET CLEANER 250ML,-100.0,30000.0,-30100.0,diff,0,-37100.0,0,5307
PPD003,BONE CHINA CUP & SAUCER DIBBI (BROWN) C2 P3 LM,-53187.0,-23475.0,-29712.0,diff,103925.0,-34743.0,0,3293
PP0063,PP BAG 18*28 (WITHOUT PRINTING),29000.0,0.0,29000.0,missing_in_erp,0,14370.0,0,
PP0077,PP BAG IFS BASE BAG 23*41,28815.0,0.0,28815.0,diff,0,0,0,3236
PP0049,PP BAG 24*35,40630.0,11980.0,28650.0,diff,0,-4500.0,0,3208
DT1056,LASHKARA DETERGENT 125/24,0.0,-28265.0,28265.0,diff,48812.0,-5806.0,0,794
RM0030,SLES,-28143.78,-3.0,-28140.78,diff,0,-42013.848,138753.919,5191
PSS052,TRAIN GOLD BAR C-142 C2 P3 LN,-13769.0,13769.0,-27538.0,diff,23692.0,-37461.0,0,3984
PSS126,LASHKARA NO. 162 C2 P3 LN(DYE 011),-13523.0,13523.0,-27046.0,diff,51813.0,-65336.0,0,4058
PP0005,RAHIL 10KG EMPTY BAG,29214.0,2544.0,26670.0,diff,0,-17953.0,24092.0,3164
DT1002,LASHKARA DETERGENT 250/24,-26348.0,151.0,-26499.0,diff,200735.0,-200953.0,0,740
STK016,STICKER BAHAR DISHWASH LIQUID 900ML,26000.0,0.0,26000.0,missing_in_erp,0,0,0,
PPC002,PUNJAB BANASPATI 12 PCS 1KG,-25842.0,0.0,-25842.0,diff,353392.0,-208050.0,0,3274
DT3019,HAPPY DETERGENT POWDER,25481.0,0.0,25481.0,diff,160876.0,-135395.0,0,955
PKS008,PUNJAB DISHWASH 120/36 CTN C4 P3 LN,25321.0,0.0,25321.0,missing_in_erp,111382.0,-85911.0,0,
DT1062,LASHKARA DETERGENT 150/24,-7751.0,-31887.0,24136.0,diff,32139.0,-4758.0,0,800
PPC016,PUNJAB BANASPATI 12 PCS 1KG (BOX BOARD),-23830.0,0.0,-23830.0,missing_in_erp,0,18671.0,0,
PSS031,TRAIN BLUE 8KG C4 P3 LN,-11813.0,11813.0,-23626.0,diff,44491.0,-56304.0,0,3963
PMA011,PURE ACHAR MIX CTN 3 PLY C 4,-42347.0,-18805.0,-23542.0,diff,32660.0,14270.0,0,3061
DT1075,LASHKARA DETERGENT 130/48,-6151.0,-29463.0,23312.0,diff,64224.0,0,0,813
PSS120,LASHKARA NO.65 C2 P3 LN,-11577.0,11577.0,-23154.0,diff,163014.0,-174591.0,0,4052
DT1006,LASHKARA DETERGENT 5KG,-6996.0,-30067.0,23071.0,diff,189695.0,-40637.0,0,744
PAC095,VIP MUG DIBBI SADA P3,-42720.0,-19686.0,-23034.0,diff,1629.0,0,0,1850
PSS060,TRAIN LAUNDRY  KHAKI C2 P5 LN,-11316.0,11316.0,-22632.0,diff,31603.0,-42919.0,0,3992
RM303,PREFORM BOTTLE 13.5GRAM,22320.0,0.0,22320.0,missing_in_erp,0,0,0,
BT018,EMPTY BAHAR LIQUID BOTTLE 900ML (WHITE),27320.0,5040.0,22280.0,diff,0,0,0,130
PP0064,PP BAG IFS PRINTING,22250.0,0.0,22250.0,missing_in_erp,0,-700.0,0,
PAC014,A.H MUG DIBBI 6 PIECE KHAKI SADA CN P3 LN,-11093.0,11093.0,-22186.0,diff,144704.0,-155797.0,0,1769
PSS154,JUNGLE NO.052 C2 P3 LN,-10926.0,10926.0,-21852.0,diff,55167.0,-65110.0,0,4086
PP0014,SAFA DETERGENT EMPTY BAG 20KG,21760.65,0.0,21760.65,missing_in_erp,0,-14739.8,0,
PPD018,P.D MUG DABBI KHAKI C1 P3,-43984.0,-22705.0,-21279.0,diff,2987.0,-2987.0,0,3308
PSS131,LASHKARA 4 PACK 9 KG C2 P3 LN,-10552.0,10552.0,-21104.0,diff,59085.0,-68631.0,0,4063
PP0060,SADA PP BAG 40KG (22*36),21000.0,0.0,21000.0,missing_in_erp,0,-1500.0,0,
RM0014,SLS,-16932.227,3875.0,-20807.227,diff,0,-122427.739,41015.288,5168
PSS144,CC SANDALI 170/40 NO. 21 C2 P3 LN,-10396.0,10396.0,-20792.0,diff,0,-10396.0,0,4076
PFO001,FAUJI COOKING OIL C4 P3LN,-10214.0,10214.0,-20428.0,diff,0,-10214.0,0,2544
PSS146,CC SANDALI 90/40 NO. 23,-10197.0,10197.0,-20394.0,diff,103204.0,-113401.0,0,4078
PP0086,TRAIN EMPTY BAG 4KG,20200.0,0.0,20200.0,diff,0,0,0,3245
