id,code,name,product_type,category,item_group,is_active,opening_qty,opening_moves,warehouse_qty,has_2026_txn,strict_idle
7,BB001,BACHAT PP BAGS EMPTY,finished,Raw Material,,1,0,0,0.0,0,1
8,BGS001,BETA GOL SOAP C1 P3 LN,finished,Raw Material,,1,0,0,0.0,0,1
9,BGS002,BETA GOL JAR 20 TIKI C1 P3 LN,finished,Raw Material,,1,0,0,0.0,0,1
10,BOP001,BOPP MAT 825MM 20 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
11,BOP002,BOPP MAT 835MM 20 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
12,BOP003,BOPP MAT 40MM 20 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
13,BOP004,BOPP MAT 90MM 20 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
14,BOP005,BOPP MAT 850MM 20 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
15,BOP006,OPP MTZ 640MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
16,BOP007,BOPP MAT 600MM 25 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
17,BOP008,BOPP MAT 765MM 30MICRON,finished,Raw Material,,1,0,0,0.0,0,1
18,BOP009,BOPP H/S 760MM 30 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
19,BOP010,BOPP PEARL 760MM 38MICRON,finished,Raw Material,,1,0,0,0.0,0,1
20,BOP011,BOPP H/S 820MM 30 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
22,BOP013,BOPP MAT 680MM 20 MICRON (GOLD GLEAM),finished,Raw Material,,1,0,0,0.0,0,1
23,BOP014,BOPP H/S 570MM 30MICRON,finished,Raw Material,,1,0,0,0.0,0,1
24,BOP015,PEARL 600MM 25 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
25,BOP016,PEARL SKIN VATAMIN  BOPP 590MM,finished,Raw Material,,1,0,0,0.0,0,1
26,BOP017,PEARL 670MM 75 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
27,BOP018,BOPP PRINTED 660MM 75 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
28,BOP019,BOPP H/S 680MM 30 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
29,BOP020,PEARL FEEL 670MM 25MICRON,finished,Raw Material,,1,0,0,0.0,0,1
30,BOP021,BOPP TRI PACK 760MM 25MICRON,finished,Raw Material,,1,0,0,0.0,0,1
31,BOP022,BOPP I PACK 760MM 25MICRON,finished,Raw Material,,1,0,0,0.0,0,1
32,BOP023,BOPP H/S 920MM 30MICRON,finished,Raw Material,,1,0,0,0.0,0,1
33,BOP024,BOPP MAT 820MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
34,BOP025,BOPP MAT 590MM 15MICRON,finished,Raw Material,,1,0,0,0.0,0,1
35,BOP026,BOPP H/S 610MM 30MICRON,finished,Raw Material,,1,0,0,0.0,0,1
37,BOP028,BOPP 660MM 25 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
38,BOP029,BOPP 680MM 30 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
39,BOP030,BOPP I PACK 960MM 30 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
40,BOP031,CPP MILKY 640MM 25 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
41,BOP032,CPP MILKY 610MM 25 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
42,BOP033,BOPP 800MM 25 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
43,BOP034,BOPP PEARL 795MM 30 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
44,BOP035,PEARL570MM 38 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
45,BOP036,BOPP H/S 610MM 20 MICRON,finished,Raw Material,,1,0,0,0.0,0,1
46,BOP037,BOPP PEARL 610MM 30MICRON,finished,Raw Material,,1,0,0,0.0,0,1
47,BOP038,CPP MTZ 855MM 25MICRON,finished,Raw Material,,1,0,0,0.0,0,1
48,BOP039,CPP MILKY 855MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
49,BOP040,BOPP MATT 876MM 12MICRON,finished,Raw Material,,1,0,0,0.0,0,1
50,BOP041,BOPP MATT 635MM 12MICRON,finished,Raw Material,,1,0,0,0.0,0,1
51,BOP042,BOPP 1000MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
52,BOP043,BOPP 570MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
53,BOP044,BOPP PLAIN 825MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
55,BOP046,BOPP SIZE 480MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
56,BOP047,BOPP SIZE 540MM 20MICRON,finished,Raw Material,,1,0,0,0.0,0,1
57,BOP048,BOPP SIZE 650MM 30MICRON,finished,Raw Material,,1,0,0,0.0,0,1
