id,code,name,product_type,warehouse_qty
7,BB001,BACHAT PP BAGS EMPTY,finished,0.0
8,BGS001,BETA GOL SOAP C1 P3 LN,finished,0.0
9,BGS002,BETA GOL JAR 20 TIKI C1 P3 LN,finished,0.0
10,BOP001,BOPP MAT 825MM 20 MICRON,finished,0.0
11,BOP002,BOPP MAT 835MM 20 MICRON,finished,0.0
12,BOP003,BOPP MAT 40MM 20 MICRON,finished,0.0
13,BOP004,BOPP MAT 90MM 20 MICRON,finished,0.0
14,BOP005,BOPP MAT 850MM 20 MICRON,finished,0.0
15,BOP006,OPP MTZ 640MM 20MICRON,finished,0.0
16,BOP007,BOPP MAT 600MM 25 MICRON,finished,0.0
17,BOP008,BOPP MAT 765MM 30MICRON,finished,0.0
18,BOP009,BOPP H/S 760MM 30 MICRON,finished,0.0
19,BOP010,BOPP PEARL 760MM 38MICRON,finished,0.0
20,BOP011,BOPP H/S 820MM 30 MICRON,finished,0.0
22,BOP013,BOPP MAT 680MM 20 MICRON (GOLD GLEAM),finished,0.0
23,BOP014,BOPP H/S 570MM 30MICRON,finished,0.0
24,BOP015,PEARL 600MM 25 MICRON,finished,0.0
25,BOP016,PEARL SKIN VATAMIN  BOPP 590MM,finished,0.0
26,BOP017,PEARL 670MM 75 MICRON,finished,0.0
27,BOP018,BOPP PRINTED 660MM 75 MICRON,finished,0.0
28,BOP019,BOPP H/S 680MM 30 MICRON,finished,0.0
29,BOP020,PEARL FEEL 670MM 25MICRON,finished,0.0
30,BOP021,BOPP TRI PACK 760MM 25MICRON,finished,0.0
31,BOP022,BOPP I PACK 760MM 25MICRON,finished,0.0
32,BOP023,BOPP H/S 920MM 30MICRON,finished,0.0
33,BOP024,BOPP MAT 820MM 20MICRON,finished,0.0
34,BOP025,BOPP MAT 590MM 15MICRON,finished,0.0
35,BOP026,BOPP H/S 610MM 30MICRON,finished,0.0
37,BOP028,BOPP 660MM 25 MICRON,finished,0.0
38,BOP029,BOPP 680MM 30 MICRON,finished,0.0
39,BOP030,BOPP I PACK 960MM 30 MICRON,finished,0.0
40,BOP031,CPP MILKY 640MM 25 MICRON,finished,0.0
41,BOP032,CPP MILKY 610MM 25 MICRON,finished,0.0
42,BOP033,BOPP 800MM 25 MICRON,finished,0.0
43,BOP034,BOPP PEARL 795MM 30 MICRON,finished,0.0
44,BOP035,PEARL570MM 38 MICRON,finished,0.0
45,BOP036,BOPP H/S 610MM 20 MICRON,finished,0.0
46,BOP037,BOPP PEARL 610MM 30MICRON,finished,0.0
47,BOP038,CPP MTZ 855MM 25MICRON,finished,0.0
48,BOP039,CPP MILKY 855MM 20MICRON,finished,0.0
49,BOP040,BOPP MATT 876MM 12MICRON,finished,0.0
50,BOP041,BOPP MATT 635MM 12MICRON,finished,0.0
51,BOP042,BOPP 1000MM 20MICRON,finished,0.0
52,BOP043,BOPP 570MM 20MICRON,finished,0.0
53,BOP044,BOPP PLAIN 825MM 20MICRON,finished,0.0
55,BOP046,BOPP SIZE 480MM 20MICRON,finished,0.0
56,BOP047,BOPP SIZE 540MM 20MICRON,finished,0.0
57,BOP048,BOPP SIZE 650MM 30MICRON,finished,0.0
58,BOP049,BOPP SIZE 910MM 20MICRON,finished,0.0
59,BOP050,BOPP SIZE 765MM 25MICRON,finished,0.0
60,BOP051,BBOPP SIZE 800MM 30MICRON,finished,0.0
63,BOP054,CPP MTLYZ 660MM 25MICRON,finished,0.0
64,BOP055,BOPP PEARL 680MM 38 MICRON,finished,0.0
65,BOP056,BOPP PEARL 840MM 38 MICRON,finished,0.0
67,BOP058,CPP MTLYZ 720MM 20MICRON,finished,0.0
68,BOP059,CPP MTLYZ 810MM 25MICRON,finished,0.0
69,BOP060,CPP MTLYZ 780MM 25MICRON,finished,0.0
71,BOP062,BOPP SIZE 480MM 30MICRON,finished,0.0
72,BOP063,BOPP SIZE 765MM 40MICRON,finished,0.0
74,BOP065,PET+CPP MTZ 260MM,finished,0.0
