type,code,name,opening,current,active
Customer,100016,SHAFI SONS SOAP FACTORY,0.0,0.0,True
Customer,100017,MUZAFER ABBAS TRADERS MUZAFERGHAR,0.0,0.0,True
Customer,100018,HAJI SARDAR BUTKHAILA KPK,0.0,0.0,True
Customer,100037,MEHAR NISAR TRADERS JALALPUR JATTAN,0.0,0.0,True
Customer,100038,AMJAD JAVED BUTT KARYANA STORE JALALPUR JATTAN,0.0,0.0,True
Customer,100039,TAJ KARYANA STORE JALALPUR JATTAN,0.0,0.0,True
Customer,100040,SARFARAZ TAJ TANDA CHOWK JPJ,0.0,0.0,True
Customer,100041,"HAROON SWEETS SABZI MANDI, JPJ",0.0,0.0,True
Customer,100042,AL-HAMAD KARYANA STORE SABZI MANDI JPJ,0.0,0.0,True
Customer,100043,U-A BROTHERS SABZI MANDI JPJ,0.0,0.0,True
Customer,100044,KHALID KARYNA STORE SABZI MANDI JPJ,0.0,0.0,True
Customer,100045,BISMILLAH SWEET SABZI MANDI JPJ,0.0,0.0,True
Customer,100046,SYED MOHSIN SHAH SABZI MANDI JPJ,0.0,0.0,True
Customer,100047,KASHIF TRADERS TANDA,0.0,0.0,True
Customer,100048,HAFIZ TRADERS TANDA,0.0,0.0,True
Customer,100049,AL GHANI TRADER SABZI MANDI JPJ,0.0,0.0,True
Customer,100050,BUTT TRADERS SABZI MANDI JPJ,0.0,0.0,True
Customer,100051,MAHMOOD KARYANA STORE DOMELA CHOWK JPJ,0.0,0.0,True
Customer,100052,WAQAS RAFIQ KARYANA JPJ,0.0,0.0,True
Customer,100053,AL MUSLIM GENERAL STORE JPJ,0.0,0.0,True
Customer,100054,HAJI ARSHAD KARYANWALA,0.0,0.0,True
Customer,100058,HAJI WALAYAT KARIYANWALA,0.0,0.0,True
Customer,100059,OMAR LOAN,0.0,0.0,True
Customer,100065,NASIR TRADERS KUNJAH,0.0,0.0,True
Customer,100070,ARIF TRADERS JALALPUR SOBATIAN,0.0,0.0,True
Customer,100071,ARIF DHUDRA,0.0,0.0,True
Customer,100072,BABA SARDAR COPRA,0.0,0.0,True
Customer,100076,SUNDRY CREDITORS,0.0,0.0,True
Customer,100077,HAJI GHULAM HUSSAN MUNGOWAL,0.0,0.0,True
Customer,100078,NEW QADRI KERYANA STORE MUNGOWAL,0.0,0.0,True
Customer,100082,BILAWAL FOODS YAZMAN MANDI,0.0,0.0,True
Customer,100083,ANEEQ TRADERS MIAN CHANNU,0.0,0.0,True
Customer,100084,GHAMKOL KARYANA STORE,0.0,0.0,True
Customer,100085,ABDULLAH SHAFIQ TRADERS,0.0,0.0,True
Customer,100086,HAQEEQAT KARYANA STORE,0.0,0.0,True
Customer,100087,KASHIF KARYANA STORE,0.0,0.0,True
Customer,100088,WAQAS HAMZA TRADER RAILWAY ROAD,0.0,0.0,True
Customer,100089,NAVEED TRADERS GULYANA,0.0,0.0,True
Customer,100090,ADIL KARYANA STORE GULYANA,0.0,0.0,True
Customer,100091,REHMAT KARYANA STORE LANGRIYAL,0.0,0.0,True
Customer,100092,MUNIR KARYANA STORE JALALPUR SOBTIYAN,0.0,0.0,True
Customer,100093,AL SHIEKH INDUSTRY SIALKOT,0.0,0.0,True
Customer,100096,MUHAMMADI ENTERPRISES CHOKI BHAGGAT,0.0,0.0,True
Customer,100101,ROYAL TRADERS GUJARKHAN,0.0,0.0,True
Customer,100102,NASEER OGHUKI,0.0,0.0,True
Customer,100105,SHOAIB KHAN AFG CYLINDERS,0.0,0.0,True
Customer,100106,SHOAIB KHAN AFG OTHERS,0.0,0.0,True
Customer,100112,MUGHAL KIRYANA STORE MUNGOWAL (HAJI SHOUKAT),0.0,0.0,True
Customer,100115,GHAREEB NAWAZ KARYANA STORE JALALPUR SOBTIYAN,0.0,0.0,True
Customer,100116,SAHIB GENERAL STORE JPJ,0.0,0.0,True
Customer,100117,ZAHOOR ELLAHI KARYANA (QAISAR),0.0,0.0,True
Customer,100120,CITY KARYANA STORE MAIN BAZAR JPJ,0.0,0.0,True
Customer,100121,BISMILLAH SWEETS BHARILA SHARIF,0.0,0.0,True
Customer,100124,USMAN DRUM GUJRANWALA,0.0,0.0,True
Customer,100125,ARIF& BROS SILANWALI,0.0,0.0,True
Customer,100128,CH IMRAN KHUI RATTA,0.0,0.0,True
Customer,100129,KASHIF TRADERS NAROWAL,0.0,0.0,True
Customer,100131,RAZA KERYANA STORE RAILWAY ROAD,0.0,0.0,True
Customer,100132,RAZA TRADERS WAZIRABAD,0.0,0.0,True
Customer,100133,M. ALI SALE IN CASH,0.0,0.0,True
Customer,100134,SARHAD IQBAL BAJOR,0.0,0.0,True
Customer,100135,HANIF TRADERS DOLAT NAGAR,0.0,0.0,True
Customer,100136,NOSHA KERYANA STORE,0.0,0.0,True
Customer,100137,SUQLAIN TRADERS PARIANWALI,0.0,0.0,True
Customer,100138,TARAR KERYANA STORE PARIANWALI,0.0,0.0,True
Customer,100139,ALI KERYANA STORE PARIANWALI,0.0,0.0,True
Customer,100141,ADEEL TRADERS SARGHODA,0.0,0.0,True
Customer,100145,SHAFIQ KERYANA STORE JPJ,0.0,0.0,True
Customer,100147,GIFT CERAMICS GUJRAT,0.0,0.0,True
Customer,100148,FAUJI TRADERS KAROR PAKKA,0.0,0.0,True
Customer,100149,NEW ALI TRADERS BAHAWAL NAGAR,0.0,0.0,True
Customer,100150,ZAMAN KERYANA STORE ADA MARLA,0.0,0.0,True
Customer,100151,AL MADINA SUPER STORE PARIANWALI,0.0,0.0,True
Customer,100152,DHUDRA KERYANA STORE MANGOWAL,0.0,0.0,True
Customer,100155,REHMAT TRADERS TANDA,0.0,0.0,True
Customer,100156,HAJI FARMAN TANDA,0.0,0.0,True
Customer,100157,MALIK TRADERS BAREELA SHARIF,0.0,0.0,True
Customer,100160,ZUBAIR TRADERS BHALWAL,0.0,0.0,True
Customer,100161,HAJI AMANAT KERYANA STORE KARIYANWALA,0.0,0.0,True
Customer,100162,SHEIKH SHAHID KERYANA STORE KARIYANWALA,0.0,0.0,True
Customer,100163,MUSLIM TRADERS KARIYANWALA,0.0,0.0,True
Customer,100164,HAJI BAGH ALI KERYANA STORE KARIYANWALA,0.0,0.0,True
Customer,100165,QADRI KERYANA STORE JPS,0.0,0.0,True
Customer,100167,NAZAR HUSSAIN FATEHPUR,0.0,0.0,True
Customer,100168,SHAFI SONS PACKAGES,0.0,0.0,True
Customer,100173,NAVEED AFZAL,0.0,0.0,True
Customer,100174,MIAN ABDUL LATIF,0.0,0.0,True
Customer,100175,J. MART MUNGOWAL,0.0,0.0,True
Customer,100176,CITY TRADERS CHOPALA ADA JPJ,0.0,0.0,True
Customer,100178,MEHAR AFZAL KERYANA STORE JPJ,0.0,0.0,True
Customer,100179,MAJID BUTT SAROKI,0.0,0.0,True
Customer,100185,SHANDAR CERAMICS,0.0,0.0,True
Customer,100186,SARFARAZ TRADERS RAILWAY ROAD,0.0,0.0,True
Customer,100187,ELIXIR CERAMICS,0.0,0.0,True
Customer,100189,SHEF SALT (SHEIKH SHAFQAT),0.0,0.0,True
Customer,100190,GHOUSIA FAN (DANIYAL BUTT),0.0,0.0,True
Customer,100191,PLASCO PIPE FACTORY,0.0,0.0,True
Customer,100192,RIAZ TAJ SABZI MANDI JPJ,0.0,0.0,True
Customer,100195,AWAIS TRADERS KARYANWALA,0.0,0.0,True
Customer,100196,KAMRAN KERYANA KARYANWALA,0.0,0.0,True
Customer,100197,BABA G KERYANA RAILWAY ROAD,0.0,0.0,True
Customer,100200,MUHAMMAD SHAFI QADRI MUNGOWAL,0.0,0.0,True
Customer,100201,MUHAMMAD RAFI MUNGOWAL,0.0,0.0,True
Customer,100202,RAMZAN SUPER STORE MUNGOWAL,0.0,0.0,True
Customer,100203,GHOUS TRADERS KARYANWALA,0.0,0.0,True
Customer,100204,MITTHO TRADERS KARYANWALA,0.0,0.0,True
Customer,100205,MEHAR IMRAN TRADERS JPJ,0.0,0.0,True
Customer,100206,TOUSEEF SARAN KARYANWALA,0.0,0.0,True
Customer,100207,ZULFIQAR KERYANA KARYANWALA,0.0,0.0,True
Customer,100208,SHAHZAD KARYANWALA,0.0,0.0,True
Customer,100209,SHEIKH AFZAL TRADERS KARYANWALA,0.0,0.0,True
Customer,100210,HAMAD OMAR TRADERS KARYANWALA,0.0,0.0,True
Customer,100212,REYAN TRADERS LODHRAN,0.0,0.0,True
Customer,100213,IQBAL TRADERS CHISHTIAN,0.0,0.0,True
Customer,100214,GHOUSIA SWEETS SABZI MANDI JPJ,0.0,0.0,True
Customer,100215,SHIBLY TRADERS LALAMUSA,0.0,0.0,True
Customer,100216,ZAIN SHAH MANDI BAHUDDIN,0.0,0.0,True
Customer,100217,NAJUM SHAHEEN SHEIKHUPURA,0.0,0.0,True
Customer,100218,ASHFAQ TRADERS SURKHPUR,0.0,0.0,True
Customer,100219,HAJI KHALID MEHMOOD KERYANA,0.0,0.0,True
Customer,100220,MOHAMMADIYA GHOUSIA TRADERS,0.0,0.0,True
Customer,100221,QAMAR SWEETS KERYANWALA,0.0,0.0,True
Customer,100222,ITTIFAQ KERYANA STORE PARIYANWALI,0.0,0.0,True
Customer,100224,SHAHID SALEEM TRADERS (ZAHIR PEER),0.0,0.0,True
Customer,100225,EHSAN KERYANA & GENERAL STORE JPJ,0.0,0.0,True
Customer,100226,HAJI TARIQ DOLTALA,0.0,0.0,True
Customer,100227,MEHAR ZEESHAN SABZI MANDI JPJ,0.0,0.0,True
Customer,100228,MEHAR QAISER MAIN BAZAR JPJ,0.0,0.0,True
Customer,100230,MALIK TRADERS PARIANWALI,0.0,0.0,True
Customer,100231,SHEIKH EHSAN RAILWAY ROAD,0.0,0.0,True
Customer,100232,MAKKAH TRADERS LALAMUSA,0.0,0.0,True
Customer,100233,SHAHID BROTHERS,0.0,0.0,True
Customer,100234,MOHAMMAD SIDDIQUE KABARIYA,0.0,0.0,True
Customer,100236,ZUBAIR (INSAAF FOODS),0.0,0.0,True
Customer,100237,LUCKY SIALKOT,0.0,0.0,True
Customer,100238,BR TRADERS PINDI BHATTIAN,0.0,0.0,True
Customer,100239,HANI ICE CREAM,0.0,0.0,True
Customer,100240,SAKHI KERYANA KOTLA ARAB,0.0,0.0,True
Customer,100241,HAJI YUSUF GUJRANWALA,0.0,0.0,True
Customer,100242,KHAN TRADERS PHALIA,0.0,0.0,True
Customer,100244,SILK BANK,0.0,0.0,True
Customer,100245,NAEEM KERYANA MUNGOWAL,0.0,0.0,True
Customer,100246,PAVWA SUPER STORE PARIYANWALI,0.0,0.0,True
Customer,100247,UNITED SUPER STORE PARIANWALI,0.0,0.0,True
Customer,100248,CH BROTHERS FAISLABAD,0.0,0.0,True
Customer,100249,A.R TRADERS FAISALABAD,0.0,0.0,True
Customer,100250,AHMED TRADERS PEER MEHAL,0.0,0.0,True
Customer,100252,RAFAQAT TRADERS AWAN SHARIF,0.0,0.0,True
Customer,100253,GHUMMAN TRADERS DHULLANALA,0.0,0.0,True
Customer,100254,MALIK TAYYAB RAILWAY ROAD,0.0,0.0,True
Customer,100255,WAHEED AZAM KERYANA STORE,0.0,0.0,True
Customer,100257,TAHIR & WAQAR KERYANA KARIYANWALA,0.0,0.0,True
Customer,100258,HAFIZ KERYANA KARIYANWALA,0.0,0.0,True
Customer,100259,AL MUSLIM TRADERS KARIYANWALA,0.0,0.0,True
Customer,100260,MOHAMMAD NAWAZ TRADERS KARIYANWALA,0.0,0.0,True
Customer,100261,TAWAKAL TRADERS KARIYANWALA,0.0,0.0,True
Customer,100262,ALI GENERAL STORE LALAMUSA,0.0,0.0,True
Customer,100263,FAISAL KIYANI (FACTORY OPERATOR),0.0,0.0,True
Customer,100265,KAMRAN KERYANA CHAK PINDI,0.0,0.0,True
Customer,100266,ARSLAN TRADERS DHULLANWALA,0.0,0.0,True
Customer,100267,GHOUSIA TRADERS DHULLANWALA,0.0,0.0,True
Customer,100268,GONDAL KERYANA DHULLANWALA,0.0,0.0,True
Customer,100269,SAWAN KERYANA DHULLANWALA,0.0,0.0,True
Customer,100271,SULIMAN TRADERS KERYANWALA,0.0,0.0,True
Customer,100272,HAFIZ SHAHZAD KERYANA KERYANWALA,0.0,0.0,True
Customer,100273,SHAHID ICHRIAN,0.0,0.0,True
Customer,100274,CHOUDHARY KERYANA CHAICHIYAN,0.0,0.0,True
Customer,100275,UZAIR GENERAL STORE CHAICHIYAN,0.0,0.0,True
