type,document_no,date,party_code,party_name,amount_or_vehicle,linked_invoice,status,created_at
Sale Approval,SAL-26080342,2026-08-17,100938,GOLDEN CERAMICS GUJRAT,40755.0,,pending_approval,2026-08-17 16:54:03
Sale Approval,SAL-26080348,2026-08-18,100013,SALE IN CASH,3590.0,,pending_approval,2026-08-18 10:59:52
Purchase Approval,PUR-18128,2026-08-13,200146,BB CHAMPACK,3072062.0,,pending_approval,2026-08-13 20:30:41
Open Gate Pass,GP-0038,2026-05-03,200384,NOMAN SB (WATER BASE),,PI-17838,open,2026-08-09 04:53:00
Open Gate Pass,GP-0029,2026-06-13,200336,REDA INDUSTRIAL MATERIALS PAKISTAN (PVT) LTD,,PI-17941,open,2026-08-08 12:37:46
Open Gate Pass,GP-0036,2026-06-21,200347,ROYAL POLYTEX INDUSTRY (PVT) LTD,,PI-17966,open,2026-08-09 04:50:22
Open Gate Pass,GP-0041,2026-07-04,200009,ITTEHAD CHEMICALS LIMITED,,PI-18010,open,2026-08-09 05:00:19
Open Gate Pass,GP-0028,2026-07-14,200146,BB CHAMPACK,,PI-18039,open,2026-08-08 12:37:21
Open Gate Pass,GP-0037,2026-07-19,100813,HISUN (PVT) LIMITED,,PI-18054,open,2026-08-09 04:52:11
Open Gate Pass,GP-0027,2026-07-26,200146,BB CHAMPACK,,PI-18071,open,2026-08-08 12:36:54
Open Gate Pass,GP-0039,2026-07-26,200032,TACIT TRADERS KARACHI (YAQOOB DYE),,PI-18069,open,2026-08-09 04:55:39
Open Gate Pass,GP-0042,2026-07-26,200270,SMS CHEMICAL,,PI-18068,open,2026-08-09 05:02:47
Open Gate Pass,GP-0035,2026-07-29,100604,AHMED ZIA KHAN,,PI-18081,open,2026-08-09 04:47:36
Open Gate Pass,GP-0026,2026-08-01,200146,BB CHAMPACK,,PI-18090,open,2026-08-08 12:36:36
Open Gate Pass,GP-0034,2026-08-01,200050,MITHO KHAAD,,PI-18092,open,2026-08-09 04:45:30
Open Gate Pass,GP-0246,2026-08-04,200161,HOUSE OF BOPP,,PI-18097,open,2026-08-17 14:31:26
Open Gate Pass,GP-0006,2026-08-05,200314,TRI PACK FILMS LIMITED,,PI-18101,open,2026-08-08 07:54:58
Open Gate Pass,GP-0007,2026-08-05,200385,ZUBAIR SALT PERSONAL,,PI-18100,open,2026-08-08 07:57:24
Open Gate Pass,GP-0016,2026-08-05,100022,ASIF IQBAL SINDH,,26080105,open,2026-08-08 10:58:34
Open Gate Pass,GP-0025,2026-08-05,200141,CAPTAIN-PQ CHEMICAL INDUSTRIES (PVT) LTD (MOHEIB ENTERPRISES),,PI-18102,open,2026-08-08 12:36:10
Open Gate Pass,GP-0208,2026-08-05,100813,HISUN (PVT) LIMITED,,PI-18103,open,2026-08-15 15:04:42
Open Gate Pass,GP-0003,2026-08-06,200094,TUFAIL CHEMICAL & SURFACTANT (PVT) LTD,,PI-18104,open,2026-08-08 05:44:11
Open Gate Pass,GP-0015,2026-08-06,100824,IMRAN FOODS GUJRANWALA,,26080113,open,2026-08-08 10:57:27
Open Gate Pass,GP-0051,2026-08-06,100961,SAEED SHEHZAD SB,,26080116,open,2026-08-09 06:58:25
Open Gate Pass,GP-0160,2026-08-06,100909,METRO PAKISTAN PRIVATE LIMITED,,26080135,open,2026-08-13 10:21:45
Open Gate Pass,GP-0001,2026-08-08,100108,MERCEDEZ FANS GUJRAT,,SAL-26080140,open,2026-08-08 05:07:33
Open Gate Pass,GP-0002,2026-08-08,200345,ASIF KHAN MARBLE (BONAIR),Z-9545,PUR-18105,open,2026-08-08 05:41:32
Open Gate Pass,GP-0004,2026-08-08,200314,TRI PACK FILMS LIMITED,LRC-1834,PUR-18106,open,2026-08-08 06:09:50
Open Gate Pass,GP-0005,2026-08-08,200385,ZUBAIR SALT PERSONAL,E-5719,PUR-18107,open,2026-08-08 06:53:39
Open Gate Pass,GP-0008,2026-08-08,100416,IZZA TRADERS DASKA,LET-4538,SAL-26080141,open,2026-08-08 08:59:21
Open Gate Pass,GP-0009,2026-08-08,100732,SOHAIL ENTERPRISES - GUJRAT DISTRIBUTOR,LES-5435,SAL-26080142,open,2026-08-08 09:24:59
Open Gate Pass,GP-0010,2026-08-08,100108,MERCEDEZ FANS GUJRAT,GTS-576,SAL-26080143,open,2026-08-08 09:43:29
Open Gate Pass,GP-0012,2026-08-08,100007,FIRDOUS TRADERS,LET-1222,SAL-26080145,open,2026-08-08 10:32:19
Open Gate Pass,GP-0014,2026-08-08,100007,FIRDOUS TRADERS,LET-1222,SAL-26080147,open,2026-08-08 10:54:40
Open Gate Pass,GP-0019,2026-08-08,100729,MED HOUSE,,SAL-26080150,open,2026-08-08 11:32:35
Open Gate Pass,GP-0021,2026-08-08,200099,ABDUL REHMAN KHAN GRINDING,MNS-1233,PUR-18108,open,2026-08-08 11:55:14
Open Gate Pass,GP-0024,2026-08-08,100312,AMIN SB HARIPUR,CAL-489,SAL-26080154,open,2026-08-08 12:24:40
Open Gate Pass,GP-0030,2026-08-08,100732,SOHAIL ENTERPRISES - GUJRAT DISTRIBUTOR,LES-5435,SAL-26080155,open,2026-08-08 12:57:05
Open Gate Pass,GP-0031,2026-08-08,200377,PEARL GAS (PRIVATE) LIMITED (SABIR HUSSAIN),TUF-330,PUR-18109,open,2026-08-08 14:04:43
Open Gate Pass,GP-0032,2026-08-09,100877,SHAFI & SONS SOAP FACTORY (SAJJAD SB),GTS-576,SAL-26080156,open,2026-08-09 04:20:31
Open Gate Pass,GP-0040,2026-08-09,200385,ZUBAIR SALT PERSONAL,E-5719,PUR-18110,open,2026-08-09 04:57:23
Open Gate Pass,GP-0044,2026-08-09,100376,HAJI KHADIM HUSSAIN KERYANA KOTLA,LET-4538,SAL-26080159,open,2026-08-09 05:53:40
Open Gate Pass,GP-0047,2026-08-09,200010,OLYMPIA CHEMICALS LIMITED,CBC-4455,PUR-18111,open,2026-08-09 06:22:56
Open Gate Pass,GP-0048,2026-08-09,100108,MERCEDEZ FANS GUJRAT,GTS-576,SAL-26080162,open,2026-08-09 06:37:49
Open Gate Pass,GP-0052,2026-08-09,100060,HAJI NAZIR AKHTAR GUJRAT,LES-8973,SAL-26080165,open,2026-08-09 07:33:19
Open Gate Pass,GP-0054,2026-08-09,100119,ALI BUTT SAROKI,RICKSHAW,SAL-26080167,open,2026-08-09 08:20:02
Open Gate Pass,GP-0057,2026-08-09,200010,OLYMPIA CHEMICALS LIMITED,TKJ-148,PUR-18112,open,2026-08-09 09:35:55
Open Gate Pass,GP-0058,2026-08-09,100146,AL HAMEED CERAMICS G.T ROAD,GTS-576,SAL-26080170,open,2026-08-09 09:48:37
Open Gate Pass,GP-0061,2026-08-09,100118,ASAD TRADERS MANDIBAHAUDDIN,LET-4538,SAL-26080173,open,2026-08-09 11:08:46
Open Gate Pass,GP-0062,2026-08-09,100881,WASIF SUBHAN ENTERPRISES,GTS-576,SAL-26080174,open,2026-08-09 16:56:20
Open Gate Pass,GP-0064,2026-08-09,200123,HI TECH INKS (RANA ZEESHA KHALID),,PUR-18113,open,2026-08-09 18:12:00
Open Gate Pass,GP-0065,2026-08-09,200061,SUMMAR DYING,,PUR-18114,open,2026-08-09 18:20:10
Open Gate Pass,GP-0066,2026-08-09,100489,SAGA INTERNATIONAL,TCG-555,SAL-26080176,open,2026-08-09 18:57:23
Open Gate Pass,GP-0067,2026-08-09,100057,AFZAL SWEET DINA,CAK-5286,SAL-26080177,open,2026-08-09 19:18:08
Open Gate Pass,GP-0068,2026-08-09,100827,HK PACKAGES LAHORE,,PUR-18115,open,2026-08-09 19:49:33
Open Gate Pass,GP-0069,2026-08-09,100576,M YOUNUS SB GUL BHAAG,Z-1390,SAL-26080178,open,2026-08-09 21:20:47
Open Gate Pass,GP-0070,2026-08-10,100560,ASIA CERAMICS GT ROAD GUJRAT,GTS-576,SAL-26080179,open,2026-08-10 09:20:23
Open Gate Pass,GP-0071,2026-08-10,200385,ZUBAIR SALT PERSONAL,GTC-993,PUR-18116,open,2026-08-10 09:45:16
Open Gate Pass,GP-0076,2026-08-10,100938,GOLDEN CERAMICS GUJRAT,GTS-576,SAL-26080184,open,2026-08-10 11:18:36
Open Gate Pass,GP-0077,2026-08-10,100830,GHOUSIA FAN GUJRAT,GTS-576,SAL-26080185,open,2026-08-10 11:19:28
Open Gate Pass,GP-0078,2026-08-10,100877,SHAFI & SONS SOAP FACTORY (SAJJAD SB),GTS-576,SAL-26080186,open,2026-08-10 11:23:53
Open Gate Pass,GP-0079,2026-08-10,100499,WAQAS SOAP FACTORY LALA MUSA,LES-5435,SAL-26080187,open,2026-08-10 11:27:00
Open Gate Pass,GP-0080,2026-08-10,100060,HAJI NAZIR AKHTAR GUJRAT,LES-8973,SAL-26080188,open,2026-08-10 11:59:58
Open Gate Pass,GP-0081,2026-08-10,100751,HAJI MUSHTAQ TRADERS - LALAMUSA,LES-5435,SAL-26080189,open,2026-08-10 12:27:55
Open Gate Pass,GP-0082,2026-08-10,200164,AL MADINA FINE QUALITY RABAR ENGINEERING(MALIK FAIZ),,PUR-18117,open,2026-08-10 12:34:08
Open Gate Pass,GP-0083,2026-08-10,100771,MUNEEB AHMED SCRAP (EMPTY BAG),RICKSHAW,SAL-26080190,open,2026-08-10 14:14:05
Open Gate Pass,GP-0085,2026-08-10,200209,CHINA BOOSTER (MUHAMMAD AZAM),,PUR-18118,open,2026-08-10 15:45:06
Open Gate Pass,GP-0086,2026-08-10,200388,MERIT CHEMICAL INDUSTRIES,,PUR-18119,open,2026-08-10 15:47:07
Open Gate Pass,GP-0087,2026-08-10,100022,ASIF IQBAL SINDH,TAP-474,SAL-26080192,open,2026-08-10 17:15:16
Open Gate Pass,GP-0088,2026-08-10,100881,WASIF SUBHAN ENTERPRISES,,SAL-26080193,open,2026-08-10 18:03:14
Open Gate Pass,GP-0089,2026-08-10,100130,SAMPLES,,SAL-26080194,open,2026-08-10 18:32:41
Open Gate Pass,GP-0090,2026-08-10,100229,ASHRAF SOAP FACTORY,RICKSHAW,SAL-26080195,open,2026-08-10 18:37:11
Open Gate Pass,GP-0091,2026-08-10,100022,ASIF IQBAL SINDH,RIL-1386,SAL-26080196,open,2026-08-10 19:10:18
Open Gate Pass,GP-0092,2026-08-10,100022,ASIF IQBAL SINDH,RIL-1386,SAL-26080197,open,2026-08-10 19:15:44
Open Gate Pass,GP-0093,2026-08-10,100022,ASIF IQBAL SINDH,C-9571,SAL-26080198,open,2026-08-10 20:10:20
Open Gate Pass,GP-0094,2026-08-10,100022,ASIF IQBAL SINDH,C-9571,SAL-26080199,open,2026-08-10 20:13:37
Open Gate Pass,GP-0095,2026-08-10,100022,ASIF IQBAL SINDH,C-9571,SAL-26080200,open,2026-08-10 20:19:00
Open Gate Pass,GP-0096,2026-08-10,100127,MALIK YASEEN SHAKARGHAR,LES-6476,SAL-26080201,open,2026-08-10 21:14:32
Open Gate Pass,GP-0097,2026-08-11,100489,SAGA INTERNATIONAL,TKR-285,SAL-26080202,open,2026-08-11 00:18:12
Open Gate Pass,GP-0101,2026-08-11,100169,SHEIKH MEHMOOD SOAP,GTS-576,SAL-26080206,open,2026-08-11 10:18:18
Open Gate Pass,GP-0102,2026-08-11,100005,LIAQAT KARYANA STORE CHIMO SEHNA,LET-4538,SAL-26080207,open,2026-08-11 10:48:18
Open Gate Pass,GP-0103,2026-08-11,100119,ALI BUTT SAROKI,RICKSHAW,SAL-26080208,open,2026-08-11 11:06:10
Open Gate Pass,GP-0105,2026-08-11,100957,SPEED PACKAGES LAHORE,GTS-576,SAL-26080210,open,2026-08-11 11:25:45
Open Gate Pass,GP-0106,2026-08-11,100036,SAIF BROTHERS RAILWAY ROAD GUJRAT,LES-5435,SAL-26080211,open,2026-08-11 12:16:34
Open Gate Pass,GP-0107,2026-08-11,100752,MALIK ABDUL QADEER (LAHORE),EA-8624,SAL-26080212,open,2026-08-11 12:40:48
Open Gate Pass,GP-0108,2026-08-11,100317,IRFAN PAPER SCRAP,LES-2477,SAL-26080213,open,2026-08-11 13:06:22
Open Gate Pass,GP-0112,2026-08-11,100938,GOLDEN CERAMICS GUJRAT,,SAL-26080217,open,2026-08-11 14:35:08
Open Gate Pass,GP-0113,2026-08-11,100146,AL HAMEED CERAMICS G.T ROAD,GTS-576,SAL-26080218,open,2026-08-11 14:48:43
Open Gate Pass,GP-0116,2026-08-11,100621,AYYAN ENTERPRISES - JPJ DISTRIBUTOR,LES-5435,SAL-26080221,open,2026-08-11 15:32:33
Open Gate Pass,GP-0120,2026-08-11,100813,HISUN (PVT) LIMITED,C-1193,SAL-26080225,open,2026-08-11 17:20:11
Open Gate Pass,GP-0121,2026-08-11,100939,RIAZ HUSSAIN SB DOLTALA,CAY-809,SAL-26080226,open,2026-08-11 17:47:07
Open Gate Pass,GP-0122,2026-08-11,100169,SHEIKH MEHMOOD SOAP,LET-4538,SAL-26080227,open,2026-08-11 17:53:34
Open Gate Pass,GP-0124,2026-08-11,200377,PEARL GAS (PRIVATE) LIMITED (SABIR HUSSAIN),TUF-330,PUR-18120,open,2026-08-11 18:48:10
Open Gate Pass,GP-0125,2026-08-11,100872,HASHMI TRADERS,CBL-2742,SAL-26080229,open,2026-08-11 20:18:31
Open Gate Pass,GP-0126,2026-08-11,100909,METRO PAKISTAN PRIVATE LIMITED,TML-149,SAL-26080230,open,2026-08-12 00:18:19
Open Gate Pass,GP-0127,2026-08-12,100877,SHAFI & SONS SOAP FACTORY (SAJJAD SB),GTS-576,SAL-26080231,open,2026-08-12 09:44:36
Open Gate Pass,GP-0128,2026-08-12,100938,GOLDEN CERAMICS GUJRAT,GTS-576+,SAL-26080232,open,2026-08-12 10:58:20
Open Gate Pass,GP-0130,2026-08-12,200385,ZUBAIR SALT PERSONAL,E-5719,PUR-18121,open,2026-08-12 11:25:24
Open Gate Pass,GP-0131,2026-08-12,100060,HAJI NAZIR AKHTAR GUJRAT,LES-8973,SAL-26080234,open,2026-08-12 11:48:58
Open Gate Pass,GP-0134,2026-08-12,100919,RAJPUT CERAMICS GUJRAT,GTS-576,SAL-26080237,open,2026-08-12 14:01:33
Open Gate Pass,GP-0135,2026-08-12,100587,PARADISE CERAMICS GUJRAT,GTS-576,SAL-26080238,open,2026-08-12 14:02:52
Open Gate Pass,GP-0136,2026-08-12,100751,HAJI MUSHTAQ TRADERS - LALAMUSA,LES-5435,SAL-26080239,open,2026-08-12 14:33:39
Open Gate Pass,GP-0138,2026-08-12,100880,KOUSAR & SONS SOAP,CAY-1640,SAL-26080241,open,2026-08-12 15:27:01
Open Gate Pass,GP-0141,2026-08-12,100146,AL HAMEED CERAMICS G.T ROAD,GTS-576,SAL-26080244,open,2026-08-12 15:54:15
Open Gate Pass,GP-0142,2026-08-12,100877,SHAFI & SONS SOAP FACTORY (SAJJAD SB),GTS-5796,SAL-26080245,open,2026-08-12 15:55:04
Open Gate Pass,GP-0143,2026-08-12,100007,FIRDOUS TRADERS,CAX-8667,SAL-26080246,open,2026-08-12 15:59:21
Open Gate Pass,GP-0145,2026-08-12,100006,OMAR MUREEDKAY,TAG-399,SAL-26080248,open,2026-08-12 16:10:36
Open Gate Pass,GP-0148,2026-08-12,100706,HAJI SHABBIR (CHEETA DETERGENT),LEI-1482,SAL-26080251,open,2026-08-12 16:55:09
Open Gate Pass,GP-0149,2026-08-12,200089,AL HASNAIN PAPER & BOARD MILL GUJRANWALA,LEI-1482,PUR-18122,open,2026-08-12 17:06:23
Open Gate Pass,GP-0150,2026-08-12,100732,SOHAIL ENTERPRISES - GUJRAT DISTRIBUTOR,LES-5435,SAL-26080252,open,2026-08-12 17:33:12
Open Gate Pass,GP-0151,2026-08-12,100403,IJAZ SB MIRPUR,RIJ-9519,SAL-26080253,open,2026-08-12 17:44:44
Open Gate Pass,GP-0152,2026-08-12,100022,ASIF IQBAL SINDH,TKA-515,SAL-26080254,open,2026-08-12 18:37:51
Open Gate Pass,GP-0153,2026-08-12,100022,ASIF IQBAL SINDH,TKA-515,SAL-26080255,open,2026-08-12 18:37:52
Open Gate Pass,GP-0154,2026-08-12,100022,ASIF IQBAL SINDH,TKA-515,SAL-26080256,open,2026-08-12 18:37:52
Open Gate Pass,GP-0155,2026-08-12,100022,ASIF IQBAL SINDH,TKA-515,SAL-26080257,open,2026-08-12 18:37:52
Open Gate Pass,GP-0156,2026-08-13,100732,SOHAIL ENTERPRISES - GUJRAT DISTRIBUTOR,LES-5435,SAL-26080258,open,2026-08-13 09:12:56
Open Gate Pass,GP-0157,2026-08-13,100942,AL SHEIKH FAN,GTS-576,SAL-26080259,open,2026-08-13 09:15:53
Open Gate Pass,GP-0159,2026-08-13,200231,ALI HASSAN BOTTLE STORE,,PUR-18123,open,2026-08-13 09:50:30
Open Gate Pass,GP-0161,2026-08-13,100877,SHAFI & SONS SOAP FACTORY (SAJJAD SB),GTS-576,SAL-26080261,open,2026-08-13 10:43:04
Open Gate Pass,GP-0162,2026-08-13,100621,AYYAN ENTERPRISES - JPJ DISTRIBUTOR,LET-4538,SAL-26080262,open,2026-08-13 11:11:01
Open Gate Pass,GP-0167,2026-08-13,100540,SERVICE INDUSTRIES LIMITED,LES-5435,SAL-26080267,open,2026-08-13 12:47:04
Open Gate Pass,GP-0170,2026-08-13,100923,AL SYED GENRAL STORE,,SAL-26080270,open,2026-08-13 14:31:40
Open Gate Pass,GP-0172,2026-08-13,100768,GOLDEN STAR FAN,CAR,SAL-26080272,open,2026-08-13 15:21:15
Open Gate Pass,GP-0173,2026-08-13,100560,ASIA CERAMICS GT ROAD GUJRAT,GTS-576,SAL-26080273,open,2026-08-13 15:34:57
Open Gate Pass,GP-0174,2026-08-13,100146,AL HAMEED CERAMICS G.T ROAD,GTS-576,SAL-26080274,open,2026-08-13 15:39:39
Open Gate Pass,GP-0175,2026-08-13,100305,ABDUL REHMAN SIALKOT,LES-5435,SAL-26080275,open,2026-08-13 15:52:25
Open Gate Pass,GP-0178,2026-08-13,100621,AYYAN ENTERPRISES - JPJ DISTRIBUTOR,LET-4538,SAL-26080278,open,2026-08-13 16:29:32
Open Gate Pass,GP-0179,2026-08-13,200183,HASHMI CHEMICALS,GAX-7753,PUR-18124,open,2026-08-13 16:36:34
Open Gate Pass,GP-0181,2026-08-13,100006,OMAR MUREEDKAY,EA-6355,SAL-26080280,open,2026-08-13 17:40:17
Open Gate Pass,GP-0182,2026-08-13,200385,ZUBAIR SALT PERSONAL,GTL-993,PUR-18125,open,2026-08-13 18:53:58
Open Gate Pass,GP-0183,2026-08-13,200010,OLYMPIA CHEMICALS LIMITED,TKF-382,PUR-18126,open,2026-08-13 19:01:03
Open Gate Pass,GP-0184,2026-08-13,100489,SAGA INTERNATIONAL,C-11495,SAL-26080281,open,2026-08-13 19:05:09
Open Gate Pass,GP-0185,2026-08-13,100753,YOUNAS ENTERPRISES KARACHI,EA-1588,SAL-26080282,open,2026-08-13 19:40:42
Open Gate Pass,GP-0186,2026-08-13,200231,ALI HASSAN BOTTLE STORE,,PUR-18127,open,2026-08-13 20:18:42
Open Gate Pass,GP-0187,2026-08-13,200146,BB CHAMPACK,LET-4538,PUR-18128,open,2026-08-13 20:30:41
Open Gate Pass,GP-0188,2026-08-13,100813,HISUN (PVT) LIMITED,C-2759,SAL-26080283,open,2026-08-13 21:09:57
Open Gate Pass,GP-0189,2026-08-15,200385,ZUBAIR SALT PERSONAL,E-5719,PUR-18129,open,2026-08-15 09:33:00
Open Gate Pass,GP-0190,2026-08-15,100560,ASIA CERAMICS GT ROAD GUJRAT,GTS-576,SAL-26080284,open,2026-08-15 09:37:48
Open Gate Pass,GP-0194,2026-08-15,200010,OLYMPIA CHEMICALS LIMITED,TKJ-148,PUR-18130,open,2026-08-15 10:55:35
Open Gate Pass,GP-0197,2026-08-15,100146,AL HAMEED CERAMICS G.T ROAD,GTS-576,SAL-26080290,open,2026-08-15 11:49:20
Open Gate Pass,GP-0198,2026-08-15,100877,SHAFI & SONS SOAP FACTORY (SAJJAD SB),GTS-576,SAL-26080291,open,2026-08-15 11:50:09
Open Gate Pass,GP-0200,2026-08-15,100118,ASAD TRADERS MANDIBAHAUDDIN,LET-4538,SAL-26080293,open,2026-08-15 12:11:24
Open Gate Pass,GP-0205,2026-08-15,100920,K&G INDUSTRIES,K-6429,SAL-26080298,open,2026-08-15 14:06:42
Open Gate Pass,GP-0206,2026-08-15,100938,GOLDEN CERAMICS GUJRAT,GTS-576,SAL-26080299,open,2026-08-15 14:37:41
Open Gate Pass,GP-0207,2026-08-15,100766,GREEN BONE CHINA CERAMICS,GTS-576,SAL-26080300,open,2026-08-15 14:46:03
